f_00	g_00	0.167
f_01	g_01	0.167
f_02	g_02	0.167
f_03	g_03	0.167
f_04	g_04	0.167
f_05	g_05	0.167
f_06	g_06	0.167
f_07	g_07	0.167
f_08	g_08	0.167
f_09	g_09	0.167
f_10	g_10	0.167
f_11	g_11	0.167
f_12	g_12	0.167
f_13	g_13	0.167
f_14	g_14	0.167
f_15	g_15	0.167
f_16	g_16	0.167
f_17	g_17	0.167
f_18	g_18	0.167
f_19	g_19	0.167
f_20	g_20	0.167
f_21	g_21	0.167
f_22	g_22	0.167
f_23	g_23	0.167
f_24	g_24	0.167
f_25	g_25	0.167
f_26	g_26	0.167
f_27	g_27	0.167
f_28	g_28	0.167
f_29	g_29	0.167
f_30	g_30	0.167
f_31	g_31	0.167
f_32	g_32	0.167
f_33	g_33	0.167
f_34	g_34	0.167
f_35	g_35	0.167
f_36	g_36	0.167
f_37	g_37	0.167
f_38	g_38	0.167
f_39	g_39	0.167
f_40	g_40	0.167
f_41	g_41	0.167
f_42	g_42	0.167
f_43	g_43	0.167
f_44	g_44	0.167
f_45	g_45	0.167
f_46	g_46	0.167
f_47	g_47	0.167
f_48	g_48	0.167
f_49	g_49	0.167
